event_link,talk_title,talk_speakers,event_description
https://socialdatascience.network/fall2023/sess4.html,Welcome Introduction ,"Dr. Ghita Berrada, LSE", Brief intro to the speaker and her talk
https://socialdatascience.network/fall2023/sess4.html,Seminar Session ,"Dr. Divya Srivastava, LSE",Promoting the systematic use of real-world data and real-world evidence for digital health technologies across Europe: A consensus framework
https://socialdatascience.network/fall2023/sess4.html,Research Discussion. ,Lead Institution,Q&A / Discussion on the research 
https://socialdatascience.network/fall2023/sess4.html,Announcement ,,Upcoming seminar in the series and other announcements
https://socialdatascience.network/fall2023/sess3.html,Welcome Introduction ,"Prof. Petra Novak, CEU", Brief intro to the speaker and her talk
https://socialdatascience.network/fall2023/sess3.html,Seminar Session ,"Prof. Elisa Omodei, CEU",Data science for the Sustainable Development Goals: the case of food security
https://socialdatascience.network/fall2023/sess3.html,Research Discussion. ,Lead Institution,Q&A / Discussion on the research 
https://socialdatascience.network/fall2023/sess3.html,Announcement ,,Upcoming seminar in the series and other announcements
https://socialdatascience.network/fall2023/sess2.html,Welcome Introduction ,"Prof. Nicolo' Cavalli, Bocconi", Brief intro to the speaker and their talk
https://socialdatascience.network/fall2023/sess2.html,Seminar Session ,Vincent Philipp Marohl (Columbia University) & Moritz Pfeifer (Leipzig University) ,CentralBankRoBERTa: A Fine-Tuned Large Language Model for Central Bank
https://socialdatascience.network/fall2023/sess2.html,Research Discussion. ,Lead Institution,Q&A / Discussion on the research 
https://socialdatascience.network/fall2023/sess2.html,Announcement ,,Upcoming seminar in the series and other announcements
https://socialdatascience.network/fall2023/sess1.html,Welcome Introduction ,"Dr. Ghita Berrada, LSE", Brief intro to the speaker and his talk
https://socialdatascience.network/fall2023/sess1.html,Seminar Session ,Dr. Max Falkenberg ,"The Evolution of the Climate Discourse on Twitter: Polarization, Hypocrisy, and the Musk Takeover"
https://socialdatascience.network/fall2023/sess1.html,Research Discussion. ,Lead Institution,Q&A / Discussion on the research 
https://socialdatascience.network/fall2023/sess1.html,Announcement ,,Upcoming seminar in the series and other announcements
https://socialdatascience.network/spring2023/sess7.html,Welcome Introduction ,"Prof. Nicolo' Cavalli, Bocconi University", Brief intro to the speaker and her talk
https://socialdatascience.network/spring2023/sess7.html,Seminar Session ,"Dr. Eleonora Bertoni, European Commmission",The Handbook of Computational Social Science for Policy
https://socialdatascience.network/spring2023/sess7.html,Research Discussion. ,Lead Institution,Q&A / Discussion on the research 
https://socialdatascience.network/spring2023/sess7.html,Announcement ,,Upcoming seminar in the series and other announcements
https://socialdatascience.network/spring2023/sess6.html,Welcome Introduction ,"Prof. Petra Kralj Novak, CEU ", Brief intro to the speaker and his talk
https://socialdatascience.network/spring2023/sess6.html,Seminar Session ,"Prof. Giacomo Calzolari, European University Institute","Artificial Intelligence, Algorithmic Recommendations and Competition"
https://socialdatascience.network/spring2023/sess6.html,Research Discussion. ,Lead Institution,Q&A / Discussion on the research 
https://socialdatascience.network/spring2023/sess6.html,Announcement ,,Upcoming seminar in the series and other announcements
https://socialdatascience.network/spring2023/sess5.html,Welcome Introduction ,"Dr. Pedro Ramaciotti Morales, Sciences Po ", Brief intro to the speaker and his talk
