Link,Elections
https://en.wikipedia.org/wiki/2024_United_States_presidential_election,2024 United States presidential election
https://en.wikipedia.org/wiki/2020_United_States_presidential_election,2020 United States presidential election
https://en.wikipedia.org/wiki/2016_United_States_presidential_election,2016 United States presidential election
https://en.wikipedia.org/wiki/2012_United_States_presidential_election,2012 United States presidential election
https://en.wikipedia.org/wiki/2008_United_States_presidential_election,2008 United States presidential election
https://en.wikipedia.org/wiki/2004_United_States_presidential_election,2004 United States presidential election
https://en.wikipedia.org/wiki/2000_United_States_presidential_election,2000 United States presidential election
https://en.wikipedia.org/wiki/1996_United_States_presidential_election,1996 United States presidential election
https://en.wikipedia.org/wiki/1992_United_States_presidential_election,1992 United States presidential election
https://en.wikipedia.org/wiki/1988_United_States_presidential_election,1988 United States presidential election
https://en.wikipedia.org/wiki/1984_United_States_presidential_election,1984 United States presidential election
https://en.wikipedia.org/wiki/1980_United_States_presidential_election,1980 United States presidential election
https://en.wikipedia.org/wiki/1976_United_States_presidential_election,1976 United States presidential election
https://en.wikipedia.org/wiki/1972_United_States_presidential_election,1972 United States presidential election
https://en.wikipedia.org/wiki/1968_United_States_presidential_election,1968 United States presidential election
https://en.wikipedia.org/wiki/1964_United_States_presidential_election,1964 United States presidential election
https://en.wikipedia.org/wiki/1960_United_States_presidential_election,1960 United States presidential election
https://en.wikipedia.org/wiki/1956_United_States_presidential_election,1956 United States presidential election
https://en.wikipedia.org/wiki/1952_United_States_presidential_election,1952 United States presidential election
https://en.wikipedia.org/wiki/1948_United_States_presidential_election,1948 United States presidential election
https://en.wikipedia.org/wiki/1944_United_States_presidential_election,1944 United States presidential election
